artist,title,bpm,key,camelot,energy,danceability,happiness,popularity,acousticness,instrumentalness,speechiness,duration,status
Yura Yunita,Cinta Dan Rahasia,96,E♭ Major,5B,21,70,51,71,82,0,3,4:22,ok
Ed Sheeran,Photograph,108,E Major,12B,38,61,20,87,61,0,5,4:19,ok
H.E.R.,Best Part,75,G Major,9B,37,52,44,86,80,0,4,3:30,ok
Dygta,Tapi Tahukah Kamu?,144,C♯ Major,3B,47,51,30,71,73,0,2,4:12,ok
Sheila On 7,Bila Kau Tak Disampingku,120,C♯ Major,3B,67,71,83,77,1,0,3,4:16,ok
Jamie Miller,Here's Your Perfect,113,F♯ Major,2B,45,56,42,74,50,0,6,2:39,ok
sombr,back to friends,93,C♯ Major,3B,72,44,24,92,0,0,3,3:19,ok
Kahitna,Soulmate,116,B♭ Major,6B,41,68,26,78,82,0,3,3:31,ok
Maroon 5,Payphone,110,E Major,12B,76,74,52,69,1,0,4,3:51,ok
NIKI,Backburner,168,G Major,9B,58,57,20,72,5,1,6,3:57,ok
Gigi Perez,Sailor Song,95,B Major,1B,41,49,27,87,68,0,3,3:32,ok
Bernadya,Lama-Lama,68,E Major,12B,54,31,18,71,82,12,4,3:05,ok
Bernadya,Kini Mereka Tahu,150,C Major,8B,48,58,24,68,90,15,3,4:44,ok
Tiara Andini,Cintanya Aku,118,C Minor,5A,34,52,33,66,72,0,3,3:54,ok
Toton Caribo,Ngapain Repot,119,C♯ Major,3B,60,91,96,60,8,0,19,4:14,ok
Yovie & Nuno,Menjaga Hati,142,G Minor,6A,67,54,19,72,62,0,3,3:57,ok
Ed Sheeran,Perfect,95,A♭ Major,4B,45,60,17,89,16,0,2,4:23,ok
NDX A.K.A.,Kelingan Mantan,140,B♭ Major,6B,78,67,57,72,57,0,3,3:19,ok
Harry Styles,As It Was,174,F♯ Minor,11A,73,52,66,90,34,0,6,2:47,ok
Meiska,Hilang Tanpa Bilang,122,B♭ Major,6B,47,51,13,65,80,0,3,4:44,ok
Idgitaf,Satu-Satu,200,E Major,12B,52,38,51,73,65,0,6,4:45,ok
Sal Priadi,Kita usahakan rumah itu,95,G Major,9B,32,71,30,69,80,50,3,3:31,ok
Tenxi,mejikuhibiniu,132,A♭ Major,4B,71,82,23,74,47,0,4,3:16,ok
Yura Yunita,Dunia Tipu-Tipu,112,C♯ Major,3B,33,48,62,65,91,0,4,3:39,ok
Mahalini,Kisah Sempurna,122,B Major,1B,49,54,9,68,51,0,3,4:36,ok
The Weeknd,Starboy,186,G Major,9B,59,68,49,91,14,0,28,3:50,ok
Maudy Ayunda,Perahu Kertas,77,A Minor,8A,37,37,16,67,41,0,3,3:54,ok
Ari Lasso,Cinta Terakhir,204,A Minor,8A,55,34,31,75,13,0,3,3:58,ok
Budi Doremi,Mesin Waktu,140,A Major,11B,31,44,38,65,85,0,3,4:23,ok
SAMSONS,Kenangan Terindah,120,E♭ Major,5B,47,61,33,76,32,0,3,4:07,ok
Tulus,Diri,96,F Major,7B,29,58,49,72,84,0,3,4:00,ok
Hivi!,Pelangi,98,F♯ Major,2B,26,55,18,69,98,0,3,3:38,ok
SZA,Nobody Gets Me,100,G Major,9B,28,36,28,85,81,0,3,3:01,ok
Pamungkas,One Only,147,C Major,8B,52,32,12,71,22,0,3,4:15,ok
Fabio Asher,Bertahan Terluka,78,F Major,7B,35,33,14,12,50,0,3,4:01,ok
Fabio Asher,Tanpa Rasa Bersalah,120,C Major,8B,30,61,21,24,73,0,3,4:38,ok
Vierra,Rasa ini,125,D Major,10B,49,58,19,75,85,0,3,4:00,ok
